Segmentation file name, Ground truth file name, Jaccard value
100075.jpg, 100075.seg, 0.1296759412001674
100080.jpg, 100080.seg, 0.09716771392949432
100098.jpg, 100098.seg, 0.1032451470291799
101085.jpg, 101085.seg, 0.12070693236833725
101087.jpg, 101087.seg, 0.11354883626982416
102061.jpg, 102061.seg, 0.28672105906650525
103041.jpg, 103041.seg, 0.21496060067188544
103070.jpg, 103070.seg, 0.0780492514944483
104022.jpg, 104022.seg, 0.1079369273952801
105019.jpg, 105019.seg, 0.2679069498163624
105025.jpg, 105025.seg, 0.16225045471678887
105053.jpg, 105053.seg, 0.22979383682591795
106020.jpg, 106020.seg, 0.10268943665527955
106024.jpg, 106024.seg, 0.2320579758310045
106025.jpg, 106025.seg, 0.2236828273960466
108005.jpg, 108005.seg, 0.045547703791567994
108041.jpg, 108041.seg, 0.026702423486143587
108070.jpg, 108070.seg, 0.1408970563903054
108073.jpg, 108073.seg, 0.030322482137878203
108082.jpg, 108082.seg, 0.18734387910681438
109034.jpg, 109034.seg, 0.07425584281172455
109053.jpg, 109053.seg, 0.07976223656124198
112082.jpg, 112082.seg, 0.04207401508126173
113009.jpg, 113009.seg, 0.060112127215070685
113016.jpg, 113016.seg, 0.06445168700499466
113044.jpg, 113044.seg, 0.05444756936835525
117054.jpg, 117054.seg, 0.09624234257105939
118020.jpg, 118020.seg, 0.11316126008269231
118035.jpg, 118035.seg, 0.11017744601936914
119082.jpg, 119082.seg, 0.02915637987957748
12003.jpg, 12003.seg, 0.08843453935374686
12074.jpg, 12074.seg, 0.25486642210864147
12084.jpg, 12084.seg, 0.16088684856935442
122048.jpg, 122048.seg, 0.11496506947878819
123074.jpg, 123074.seg, 0.1345269309556255
124084.jpg, 124084.seg, 0.11086482455150193
126007.jpg, 126007.seg, 0.32692002293853184
126039.jpg, 126039.seg, 0.1214118319722
130026.jpg, 130026.seg, 0.05953387115666303
130034.jpg, 130034.seg, 0.1024459370895793
134008.jpg, 134008.seg, 0.8401176158185504
134035.jpg, 134035.seg, 0.039627569034267014
134052.jpg, 134052.seg, 0.15967986867284314
135037.jpg, 135037.seg, 0.06805324332276087
135069.jpg, 135069.seg, 0.38168004846852965
138032.jpg, 138032.seg, 0.0612630326977062
138078.jpg, 138078.seg, 0.11161936905659356
140055.jpg, 140055.seg, 0.08380811702936213
140075.jpg, 140075.seg, 0.0682221071231931
14037.jpg, 14037.seg, 0.21992038983900639
143090.jpg, 143090.seg, 0.2084470930880357
144067.jpg, 144067.seg, 0.08485152881385252
145014.jpg, 145014.seg, 0.07977492105796981
145053.jpg, 145053.seg, 0.08324474332408655
145086.jpg, 145086.seg, 0.057342600232200835
147021.jpg, 147021.seg, 0.15326658532458623
147062.jpg, 147062.seg, 0.026734835579433992
147091.jpg, 147091.seg, 0.08159241551296711
148026.jpg, 148026.seg, 0.05112954523997795
148089.jpg, 148089.seg, 0.04836710793451724
15004.jpg, 15004.seg, 0.034387316157908326
15088.jpg, 15088.seg, 0.0425499710884144
151087.jpg, 151087.seg, 0.042519762572527514
153077.jpg, 153077.seg, 0.14366408282327645
153093.jpg, 153093.seg, 0.09471896756326674
155060.jpg, 155060.seg, 0.1671831394402714
156065.jpg, 156065.seg, 0.046251356947781416
