Segmentation file name, Ground truth file name, Jaccard value,,
100075.jpg, 100075.seg,0.046451452,,0.089056589
100080.jpg, 100080.seg,0.267512458,,
100098.jpg, 100098.seg,0.259164271,,
101085.jpg, 101085.seg,0.083701445,,
101087.jpg, 101087.seg,0.031940056,,
102061.jpg, 102061.seg,0.226134903,,
103041.jpg, 103041.seg,0.101771285,,
103070.jpg, 103070.seg,0.195956628,,
104022.jpg, 104022.seg,0.037450049,,
105019.jpg, 105019.seg,0.171671858,,
105025.jpg, 105025.seg,0.14400195,,
105053.jpg, 105053.seg,0.221227158,,
106020.jpg, 106020.seg,0.035634218,,
106024.jpg, 106024.seg,0.190331511,,
106025.jpg, 106025.seg,0.46086962,,
108005.jpg, 108005.seg,0.085013159,,
108041.jpg, 108041.seg,0.191343119,,
108070.jpg, 108070.seg,0.048088244,,
108073.jpg, 108073.seg,0.089959135,,
108082.jpg, 108082.seg,0.099532775,,
109034.jpg, 109034.seg,0.229282696,,
109053.jpg, 109053.seg,0.029746628,,
112082.jpg, 112082.seg,0.03143715,,
113009.jpg, 113009.seg,0.026894056,,
113016.jpg, 113016.seg,0.089557514,,
113044.jpg, 113044.seg,0.039242219,,
117054.jpg, 117054.seg,0.056844544,,
118020.jpg, 118020.seg,0.06037951,,
118035.jpg, 118035.seg,0.03253218,,
119082.jpg, 119082.seg,0.018675381,,
12003.jpg, 12003.seg,0.15513916,,
12074.jpg, 12074.seg,0.053011049,,
12084.jpg, 12084.seg,0.3435272,,
122048.jpg, 122048.seg,0.04073227,,
123074.jpg, 123074.seg,0.049028516,,
124084.jpg, 124084.seg,0.093093065,,
126007.jpg, 126007.seg,0.091685533,,
126039.jpg, 126039.seg,0.019527088,,
130026.jpg, 130026.seg,0.122968352,,
130034.jpg, 130034.seg,0.137273322,,
134008.jpg, 134008.seg,0.396723978,,
134035.jpg, 134035.seg,0.013839973,,
134052.jpg, 134052.seg,0.120158982,,
135037.jpg, 135037.seg,0.019399714,,
135069.jpg, 135069.seg,0.412555242,,
138032.jpg, 138032.seg,0.033513215,,
138078.jpg, 138078.seg,0.085582166,,
140055.jpg, 140055.seg,0.017446374,,
140075.jpg, 140075.seg,0.005795564,,
14037.jpg, 14037.seg,0.026931413,,
143090.jpg, 143090.seg,0.108249222,,
144067.jpg, 144067.seg,0.063829862,,
145014.jpg, 145014.seg,0.083141884,,
145053.jpg, 145053.seg,0.018658283,,
145086.jpg, 145086.seg,0.034997714,,
147021.jpg, 147021.seg,0.19041454,,
147062.jpg, 147062.seg,0.054909589,,
147091.jpg, 147091.seg,0.281168959,,
148026.jpg, 148026.seg,0.049823726,,
148089.jpg, 148089.seg,0.015601824,,
15004.jpg, 15004.seg,0.041263296,,
15088.jpg, 15088.seg,0.088586165,,
151087.jpg, 151087.seg,0.033471389,,
153077.jpg, 153077.seg,0.065584465,,
153093.jpg, 153093.seg,0.012314154,,
155060.jpg, 155060.seg,0.092993895,,
156065.jpg, 156065.seg,0.071401229,,
156079.jpg, 156079.seg,0.042340805,,
157036.jpg, 157036.seg,0.076869183,,
157055.jpg, 157055.seg,0.061232186,,
159008.jpg, 159008.seg,0.020958055,,
159029.jpg, 159029.seg,0.040333594,,
159045.jpg, 159045.seg,0.107095224,,
159091.jpg, 159091.seg,0.050946964,,
160068.jpg, 160068.seg,0.097908399,,
16052.jpg, 16052.seg,0.01857773,,
16077.jpg, 16077.seg,0.042307811,,
161062.jpg, 161062.seg,0.044063075,,
163014.jpg, 163014.seg,0.053363435,,
163062.jpg, 163062.seg,0.077812903,,
163085.jpg, 163085.seg,0.057637393,,
164074.jpg, 164074.seg,0.136197307,,
166081.jpg, 166081.seg,0.064498593,,
167062.jpg, 167062.seg,0.155397227,,
167083.jpg, 167083.seg,0.146034846,,
169012.jpg, 169012.seg,0.028467119,,
170054.jpg, 170054.seg,0.053152255,,
170057.jpg, 170057.seg,0.016701077,,
172032.jpg, 172032.seg,0.134639338,,
173036.jpg, 173036.seg,0.166027771,,
175032.jpg, 175032.seg,0.1210509,,
175043.jpg, 175043.seg,0.060415935,,
176019.jpg, 176019.seg,0.100283123,,
176035.jpg, 176035.seg,0.074060802,,
176039.jpg, 176039.seg,0.183456719,,
178054.jpg, 178054.seg,0.07770725,,
181018.jpg, 181018.seg,0.047135457,,
181079.jpg, 181079.seg,0.041970014,,
181091.jpg, 181091.seg,0.082155055,,
182053.jpg, 182053.seg,0.042462547,,
183055.jpg, 183055.seg,0.080213308,,
183087.jpg, 183087.seg,0.018297348,,
187003.jpg, 187003.seg,0.016085802,,
187029.jpg, 187029.seg,0.091738827,,
187039.jpg, 187039.seg,0.091629494,,
187071.jpg, 187071.seg,0.185716818,,
187083.jpg, 187083.seg,0.064363795,,
188005.jpg, 188005.seg,0.028078315,,
188063.jpg, 188063.seg,0.077692745,,
188091.jpg, 188091.seg,0.066504298,,
189003.jpg, 189003.seg,0.019116659,,
189011.jpg, 189011.seg,0.326934577,,
189080.jpg, 189080.seg,0.107322961,,
19021.jpg, 19021.seg,0.04356195,,
196015.jpg, 196015.seg,0.01435957,,
196073.jpg, 196073.seg,0.19122598,,
197017.jpg, 197017.seg,0.046120478,,
198004.jpg, 198004.seg,0.04132367,,
198023.jpg, 198023.seg,0.049157983,,
198054.jpg, 198054.seg,0.182914665,,
20008.jpg, 20008.seg,0.024264496,,
202012.jpg, 202012.seg,0.025974872,,
207056.jpg, 207056.seg,0.14145272,,
208001.jpg, 208001.seg,0.112408402,,
209070.jpg, 209070.seg,0.414101382,,
2092.jpg, 2092.seg,0.056930921,,
210088.jpg, 210088.seg,0.154052139,,
21077.jpg, 21077.seg,0.054897752,,
216041.jpg, 216041.seg,0.046422349,,
216053.jpg, 216053.seg,0.034930457,,
216066.jpg, 216066.seg,0.132445016,,
216081.jpg, 216081.seg,0.011864868,,
219090.jpg, 219090.seg,0.075165254,,
220075.jpg, 220075.seg,0.021283884,,
22013.jpg, 22013.seg,0.022178275,,
22090.jpg, 22090.seg,0.040939093,,
22093.jpg, 22093.seg,0.073050164,,
223061.jpg, 223061.seg,0.201808468,,
225017.jpg, 225017.seg,0.059608437,,
227040.jpg, 227040.seg,0.113813075,,
227046.jpg, 227046.seg,0.055347498,,
227092.jpg, 227092.seg,0.120501104,,
229036.jpg, 229036.seg,0.022199609,,
23025.jpg, 23025.seg,0.070904784,,
23080.jpg, 23080.seg,0.036738173,,
23084.jpg, 23084.seg,0.092696728,,
231015.jpg, 231015.seg,0.029565904,,
232038.jpg, 232038.seg,0.074927348,,
236017.jpg, 236017.seg,0.063611642,,
236037.jpg, 236037.seg,0.117084999,,
238011.jpg, 238011.seg,0.093635438,,
239007.jpg, 239007.seg,0.029156479,,
239096.jpg, 239096.seg,0.057952203,,
24004.jpg, 24004.seg,0.148155141,,
24063.jpg, 24063.seg,0.059715146,,
24077.jpg, 24077.seg,0.024981373,,
241004.jpg, 241004.seg,0.030813542,,
241048.jpg, 241048.seg,0.203488498,,
242078.jpg, 242078.seg,0.020916147,,
245051.jpg, 245051.seg,0.02458494,,
246016.jpg, 246016.seg,0.02771807,,
246053.jpg, 246053.seg,0.061021231,,
247085.jpg, 247085.seg,0.039840789,,
249061.jpg, 249061.seg,0.115949023,,
249087.jpg, 249087.seg,0.051311207,,
25098.jpg, 25098.seg,0.030600791,,
253027.jpg, 253027.seg,0.019299653,,
253036.jpg, 253036.seg,0.037518523,,
253055.jpg, 253055.seg,0.02410552,,
254033.jpg, 254033.seg,0.043809421,,
254054.jpg, 254054.seg,0.130970842,,
260058.jpg, 260058.seg,0.153674719,,
260081.jpg, 260081.seg,0.133618831,,
26031.jpg, 26031.seg,0.168405704,,
268002.jpg, 268002.seg,0.141815995,,
27059.jpg, 27059.seg,0.037186855,,
271008.jpg, 271008.seg,0.089052347,,
271031.jpg, 271031.seg,0.275106808,,
271035.jpg, 271035.seg,0.015681955,,
274007.jpg, 274007.seg,0.021129922,,
277095.jpg, 277095.seg,0.082913642,,
28075.jpg, 28075.seg,0.212159835,,
28096.jpg, 28096.seg,0.024133471,,
285036.jpg, 285036.seg,0.303008493,,
285079.jpg, 285079.seg,0.260803496,,
286092.jpg, 286092.seg,0.022705285,,
291000.jpg, 291000.seg,0.175027386,,
292066.jpg, 292066.seg,0.046585099,,
293029.jpg, 293029.seg,0.09438706,,
295087.jpg, 295087.seg,0.056655972,,
296007.jpg, 296007.seg,0.046202378,,
296059.jpg, 296059.seg,0.033561837,,
299086.jpg, 299086.seg,0.093675511,,
299091.jpg, 299091.seg,0.153623071,,
300091.jpg, 300091.seg,0.140390811,,
301007.jpg, 301007.seg,0.018553145,,
302003.jpg, 302003.seg,0.087930981,,
302008.jpg, 302008.seg,0.081896552,,
304034.jpg, 304034.seg,0.344252822,,
304074.jpg, 304074.seg,0.424028052,,
306005.jpg, 306005.seg,0.070951138,,
309004.jpg, 309004.seg,0.074408386,,
3096.jpg, 3096.seg,0.299395035,,
310007.jpg, 310007.seg,0.103381417,,
311068.jpg, 311068.seg,0.052036228,,
311081.jpg, 311081.seg,0.03380072,,
314016.jpg, 314016.seg,0.093315814,,
317080.jpg, 317080.seg,0.06792849,,
323016.jpg, 323016.seg,0.033332554,,
326038.jpg, 326038.seg,0.094111444,,
33039.jpg, 33039.seg,0.012997089,,
33066.jpg, 33066.seg,0.019699004,,
35008.jpg, 35008.seg,0.114473651,,
35010.jpg, 35010.seg,0.082727074,,
35058.jpg, 35058.seg,0.049701276,,
35070.jpg, 35070.seg,0.121647795,,
35091.jpg, 35091.seg,0.216704421,,
351093.jpg, 351093.seg,0.023498393,,
353013.jpg, 353013.seg,0.047387589,,
361010.jpg, 361010.seg,0.027739255,,
